NOM;SOCIETE DE GESTION;PAYS;SOCIETES;TYPE;CATEGORIE;DATE D'ENTREE;DATE DE SORTIE;TEMPORALITE;MONTANT SOUSCRIT;NET INVESTI;DISTRIBUTION DEFINITIVE + REVENUES;"VL
ESTIMATION A DATE";VALEUR DE L'INVESTISSEMENT 30/06/2023;RESULTAT;MULTIPLE (0);DPI (x);"TRI
recalculé (%)"
140 West 4th Street;;;;;;14/12/2020;28/05/2023;2,5;3,3;4,7;-;-;-;1,5;1,45;;28,00%
21 NE;;;;;;16/01/2008;13/01/2016;8;2;4,6;-;-;-;2,6;2,3;;24,30%
21 P&C;;;;;;26/10/2007;07/06/2017;9,6;4,7;1,1;-;-;-;-3,6;0,23;;-15,40%
ALOE II;;;;;;11/12/2006;16/08/2016;9,7;5;0,6;-;-;-;-4,4;0,12;;-37,10%
ASTORG IV;;;FINANCIERE DASSAULT;;Cap dev / LBO - mid &;08/10/2007;29/09/2020;13;5,9;5,9;10,1;0;10,1;4,2;1,71;;12,40%
ASTORG V;;;FINANCIERE DASSAULT;;Cap dev / LBO - mid &;13/12/2010;24/01/2022;11,1;5,6;5,6;11,5;0;11,5;5,9;2,04;;20,50%
AUTODATA;;;;;;06/11/2014;03/02/2017;2,2;1,5;3,4;-;-;-;1,9;2,27;;44,30%
BLACKFIN;BLACKFIN;;FINANCIERE DASSAULT;;Sectoriel hors santé;11/1/2010;10/02/2022;12,1;3,4;3,4;7;-;7;3,6;2,05;;16,70%
CATALYST / Tufin;;; SITAM SA;;;07/02/2006;27/06/2023;17,4;4,5;4,5;9,6;-;9,6;5,1;2,15;;7,00%
CRESCENT ARROW;;; SITAM SA;;Tech;21/04/2015;15/06/2023;8,2;3,5;3,5;0;-;-;-3,5;0;0.0x;-100,00%
Ella Lee;;;;;;04/03/2016;05/01/2023;6,8;3,6;6,2;-;-;-;2,6;1,72;;8,70%
FCPR CONVERTEAM;;;;;;07/09/2008;19/12/2013;5,3;2,3;4;-;-;-;1,7;1,75;;20,90%
Five Arrows Principal Investment I;;;;;;03/07/2009;14/11/2022;13,4;5,8;12,7;-;-;-;6,9;2,2;;17,20%
Fiverr;;Inde; SITAM SA;Co-invest;Inde;11/12/2018;13/03/2022;3,3;1,3;7,9;-;-;-;6,6;6,02;;134,60%
FRANCE AUTO PATRIMOINE;;;;;;20/09/2012;15/10/2018;6,1;5;8,5;-;-;-;3,5;1,71;;10,30%
Gladiator GA;;;;;;19/12/2006;23/12/2022;16;4,4;11,9;-;-;-;7,5;2,69;;14,50%
L REAL ESTATE SCA SICAR;;;;;;18/02/2010;07/03/2022;12,1;39,5;72;-;-;-;32,5;1,82;;11,10%
